"index";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"Touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
86;"HP";"Ultrabook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Nvidia";"Windows";2;37243
87;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Intel";"Windows";2;31914
88;"Asus";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";128;1024;"Nvidia";"Windows";2;77203
89;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Intel";"Windows";1;87859
90;"Asus";"Gaming";15.6;1920;1080;0;"AMD";" FX 9830P ";3.0;8;"HDD";1024;0;"AMD";"Windows";2;37243
91;"Acer";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;2;"HDD";1024;0;"Nvidia";"Windows";2;36710
92;"HP";"Notebook";13.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"SSD";512;0;"Intel";"Windows";1;63776
93;"Dell";"Gaming";15.6;1920;1080;0;"Intel";" Core i5 7300HQ ";2.5;8;"SSD";256;0;"Nvidia";"Windows";3;63670
94;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"SSD";256;0;"Intel";"Windows";1;55891
95;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;45128
96;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"HDD";1024;0;"AMD";"Linux";2;31963
97;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"SSD";256;0;"AMD";"Linux";2;25841
98;"Asus";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 7100U ";2.4;6;"SSD";256;0;"Nvidia";"Windows";2;30743
99;"HP";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;12;"Hybrid";128;1024;"Nvidia";"Windows";3;66547
100;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"SSD";256;0;"AMD";"Windows";2;38308
101;"HP";"Notebook";15.6;1920;1080;0;"AMD";" E-Series E2-9000e ";1.5;4;"HDD";500;0;"AMD";"Windows";2;18595
102;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"HDD";1024;0;"AMD";"Linux";2;34472
103;"HP";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"SSD";256;0;"Nvidia";"Windows";1;59620
104;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Intel";"Windows";1;71395
105;"HP";"Notebook";14.0;1920;1080;0;"Intel";" Core i5 7200U ";2.5;6;"SSD";256;0;"Nvidia";"Windows";2;35112
106;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";1024;0;"Intel";"Windows";2;22106
107;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"SSD";256;0;"Nvidia";"Windows";1;63563
108;"MSI";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2;69211
109;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";" Core i7 7500U ";2.7;8;"SSD";256;0;"Intel";"Windows";2;78854
110;"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2;67239
111;"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";" Core i7 7560U ";2.4;8;"SSD";256;0;"Intel";"Windows";1;73473
112;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Intel";"Windows";1;74539
113;"HP";"Notebook";14.0;1366;768;0;"Intel";" Core i5 8250U ";1.6;4;"HDD";500;0;"Intel";"Windows";2;38468
114;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";1;86793
116;"HP";"Notebook";14.0;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";512;0;"Intel";"Windows";2;57756
117;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"Hybrid";256;1024;"Nvidia";"Windows";2;60224
118;"Asus";"Notebook";17.3;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";1024;0;"Nvidia";"Windows";2;30050
119;"Asus";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Nvidia";"Windows";2;59567
120;"Acer";"Notebook";15.6;1920;1080;1;"Intel";" Core i3 7100U ";2.4;6;"HDD";1024;0;"Intel";"Windows";2;25521
121;"MSI";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";256;2048;"Nvidia";"Windows";2;119427
122;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Nvidia";"N/A";2;33513
123;"HP";"Notebook";17.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"SSD";512;0;"Nvidia";"Windows";2;67719
124;"Acer";"Notebook";15.6;1366;768;0;"AMD";" A9-Series 9420 ";3.0;4;"SSD";256;0;"AMD";"Windows";2;24029
126;"HP";"Notebook";14.0;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"HDD";1024;0;"Intel";"Windows";2;43263
127;"Asus";"Notebook";14.0;1366;768;0;"AMD";" E-Series 6110 ";1.5;4;"SSD";64;0;"AMD";"Windows";2;14811
128;"Dell";"Notebook";17.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"Hybrid";256;2048;"AMD";"Windows";3;74379
129;"HP";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";2;49444
130;"Dell";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;8;"HDD";1024;0;"AMD";"Windows";2;34045
131;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";1024;0;"AMD";"Windows";2;23923
132;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Intel";"Windows";2;47100
133;"Acer";"Notebook";15.6;1920;1080;0;"Intel";" Core i3 7130U ";2.7;4;"SSD";256;0;"Nvidia";"Windows";7;30476
134;"HP";"Notebook";15.6;1366;768;0;"Intel";" Core i7 7500U ";2.7;8;"HDD";1024;0;"Intel";"Windows";2;31861
135;"HP";"Notebook";14.0;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Intel";"Windows";2;52641
136;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";" Celeron Dual Core N3350 ";1.1;4;"HDD";1024;0;"Intel";"N/A";2;13446
137;"Asus";"Gaming";17.3;1920;1080;0;"Intel";" Core i5 7300HQ ";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";3;49977
138;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;4;"HDD";1024;0;"Nvidia";"N/A";2;26587
139;"HP";"Notebook";13.3;1920;1080;0;"Intel";" Core i5 7200U ";2.5;4;"SSD";256;0;"Intel";"Windows";1;37243
140;"Acer";"Notebook";17.3;1920;1080;0;"Intel";" Core i3 7130U ";2.7;4;"HDD";1024;0;"Nvidia";"Windows";3;34898
141;"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"AMD";"Windows";2;59462
142;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;8;"SSD";256;0;"Nvidia";"N/A";2;46300
143;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";" Core i5 6200U ";2.3;4;"HDD";500;0;"Intel";"Windows";2;32075
144;"HP";"Notebook";15.6;1366;768;0;"AMD";" A6-Series 9220 ";2.5;4;"SSD";256;0;"AMD";"Windows";2;19660
145;"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Intel";"Windows";1;58555
146;"HP";"Ultrabook";12.5;3840;2160;1;"Intel";" Core M 6Y75 ";1.2;8;"SSD";512;0;"Intel";"Windows";1;107306
147;"Asus";"Notebook";15.6;1920;1080;0;"Intel";" Celeron Dual Core N3350 ";1.1;4;"HDD";1024;0;"Intel";"Windows";2;18328
149;"Acer";"Notebook";15.6;1366;768;0;"Intel";" Core i3 6006U ";2.0;4;"HDD";1024;0;"Intel";"Windows";2;23816
150;"Dell";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"SSD";512;0;"Nvidia";"Windows";3;66561
151;"Dell";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;8;"Hybrid";1024;0;"Nvidia";"Windows";3;47899
152;"Lenovo";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;4;"SSD";128;0;"Intel";"Windows";2;26533
153;"MSI";"Gaming";17.3;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";3;100699
154;"HP";"Ultrabook";14.0;1920;1080;0;"Intel";" Core i5 7500U ";2.7;4;"SSD";256;0;"Intel";"Windows";1;57649
155;"HP";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;6;"SSD";256;0;"AMD";"Windows";2;32980
156;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";" Core i3 7100U ";2.4;4;"SSD";256;0;"Intel";"Windows";2;33513
157;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";1;70063
158;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";" Core i7 8550U ";1.8;8;"SSD";256;0;"Intel";"Windows";2;55891
159;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";" Core i3 6006U ";2.2;4;"HDD";500;0;"Intel";"Windows";2;23816
160;"Asus";"Notebook";15.6;1366;768;0;"AMD";" A9-Series 9420 ";3.0;4;"HDD";1024;0;"AMD";"Windows";2;21472
161;"Acer";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;4;"SSD";256;0;"Nvidia";"Windows";3;42890
162;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"AMD";"Windows";2;38788
163;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"SSD";256;0;"Nvidia";"Windows";2;57489
164;"Acer";"Notebook";15.6;1366;768;0;"Intel";" Celeron Dual Core N3350 ";1.1;4;"HDD";1024;0;"Intel";"Windows";2;18541
165;"MSI";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2;95851
166;"Acer";"Notebook";15.6;1366;768;0;"Intel";" Pentium Quad Core N4200 ";1.1;4;"HDD";1024;0;"Intel";"Windows";2;19368
167;"Dell";"Gaming";15.6;1920;1080;0;"Intel";" Core i7 7700HQ ";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";3;56503
168;"Acer";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Nvidia";"Windows";3;45501
169;"HP";"Notebook";13.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;4;"HDD";500;0;"Intel";"Windows";1;40173
170;"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Intel";"Windows";1;71875
171;"HP";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 7200U ";2.5;6;"HDD";2048;0;"AMD";"Windows";3;37243
172;"Lenovo";"Notebook";15.6;1366;768;0;"AMD";" A6-Series 9220 ";2.9;4;"HDD";500;0;"AMD";"N/A";2;16464
173;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";" Core i3 7100U ";2.4;4;"HDD";500;0;"Intel";"Windows";5;26054
174;"HP";"Notebook";17.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Nvidia";"Windows";2;49177
175;"Dell";"Notebook";15.6;1366;768;0;"Intel";" Core i3 7100U ";2.4;8;"HDD";1024;0;"Intel";"Windows";2;24456
176;"Acer";"Notebook";15.6;1366;768;0;"Intel";" Core i3 6006U ";2.0;4;"SSD";128;0;"Intel";"Windows";2;23923
177;"MSI";"Gaming";18.4;1920;1080;0;"Intel";" Core i7 6920HQ ";2.9;32;"Hybrid";512;1024;"Nvidia";"Windows";4;149131
178;"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"Hybrid";128;1024;"AMD";"Windows";2;43317
179;"HP";"2 in 1 Convertible";13.3;3840;2160;1;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";1;79867
180;"Dell";"Notebook";15.6;1920;1080;0;"Intel";" Core i7 8550U ";1.8;16;"Hybrid";256;2048;"AMD";"Linux";2;55891
181;"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Intel";"Windows";1;74539
182;"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;"Intel";" Core i7 8550U ";1.8;16;"SSD";512;0;"Intel";"Windows";1;98515
183;"Toshiba";"Notebook";15.6;1366;768;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";128;0;"Intel";"Windows";2;42251
184;"Xiaomi";"Notebook";15.6;1920;1080;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Nvidia";"N/A";2;63883
185;"Dell";"Notebook";17.3;1920;1080;1;"Intel";" Core i7 8550U ";1.8;16;"SSD";512;0;"Nvidia";"Windows";3;82531
186;"Dell";"Notebook";15.6;3840;2160;1;"Intel";" Core i7 7700HQ ";2.8;16;"SSD";512;0;"Nvidia";"Windows";2;127712
187;"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";" Core i5 7300HQ ";2.5;8;"SSD";256;0;"Nvidia";"N/A";2;41505
188;"Acer";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i5 7Y54 ";1.2;8;"SSD";256;0;"Intel";"Windows";1;52694
189;"Dell";"Notebook";17.3;1920;1080;0;"Intel";" Core i7 8550U ";1.8;8;"Hybrid";128;1024;"AMD";"Windows";3;57809
191;"Vero";"Notebook";14.0;1920;1080;0;"Intel";" Celeron Dual Core N3350 ";1.1;4;"Flash Storage";32;0;"Intel";"Windows";1;13853
192;"Xiaomi";"Ultrabook";13.3;1920;1080;0;"Intel";" Core i5 7200U ";2.5;8;"SSD";256;0;"Nvidia";"N/A";1;53275
193;"Lenovo";"Notebook";17.3;1600;900;0;"Intel";" Core i5 8250U ";1.6;8;"SSD";256;0;"Nvidia";"N/A";3;37189
